bbcwbx.xhtml,"{""message"": ""XHTML""}"
bbcwbx.xhtml.clp,"{""message"": ""คลิปบอร์ด""}"
bbcwbx.xhtml.clp.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.xhtml.clp.code,"{""message"": ""รหัส""}"
bbcwbx.xhtml.clp.list,"{""message"": ""รายชื่อ""}"
bbcwbx.xhtml.clp.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.xhtml.clp.alphalist,"{""message"": ""รายชื่อตามตัวอักษร""}"
bbcwbx.xhtml.img,"{""message"": ""รูปภาพ""}"
bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""ทำยูอาร์แอลกดได้""}"
bbcwbx.xhtml.clp.url,"{""message"": ""ยูอาร์แอล""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""รหัส""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""รายชื่อ""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""รายชื่อตามตัวอักษร""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""ตัวช่วยสร้างยูอาร์แอล""}"
bbcwbx.xhtml.bold,"{""message"": ""ตัวหนา""}"
bbcwbx.xhtml.ital,"{""message"": ""ตัวเอน""}"
bbcwbx.xhtml.undrln,"{""message"": ""ขีดเส้นใต้""}"
bbcwbx.xhtml.strk,"{""message"": ""ขีดเส้นทับ""}"
bbcwbx.xhtml.image,"{""message"": ""รูปภาพ""}"
bbcwbx.xhtml.url,"{""message"": ""ยูอาร์แอล""}"
bbcwbx.custom,"{""message"": ""ป้ายชื่อทำเอง""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""คลิปบอร์ด""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.mkdn.clp.code,"{""message"": ""รหัส""}"
bbcwbx.mkdn.clp.list,"{""message"": ""รายชื่อ""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""ทำยูอาร์แอลกดได้""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Make image from selection""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""อ้างอิง""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""รหัส""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""รายชื่อ""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""รายชื่อตามลำัดับ""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""ยูอาร์แอลกับชื่อ""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""ตัวช่วยสร้างยูอาร์แอล""}"
bbcwbx.mkdn.bold,"{""message"": ""ตัวหนา""}"
bbcwbx.mkdn.ital,"{""message"": ""ตัวเอน""}"
bbcwbx.mkdn.strk,"{""message"": ""ขีดเส้นทับ""}"
INS_AUTHOR,"{""message"": ""กรุณาใส่ชื่อเจ้าของหรือปล่อยว่าง:""}"
INS_LINKNAME,"{""message"": ""กรุณาใส่ชื่อลิงก์:""}"
INS_FONTSIZE,"{""message"": ""กรุณาใส่ขนาดข้อความ:""}"
INS_FONTCOLOR,"{""message"": ""กรุณาใส่สีข้อความ:""}"
URLCOMPOSTO_STEP1,"{""message"": ""ชื่อลิงก์?""}"
URLCOMPOSTO_STEP2,"{""message"": ""ลิงก์?""}"
INS_THREADNUM,"{""message"": ""กรุณาใส่หมายเลขหัวข้อ:""}"
INS_POSTNUM,"{""message"": ""กรุณาใส่หมายเลขโพสต์:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""ไม่พบป้ายชื่อทำเอง""}"
MENU_DISABLE ,"{""message"": ""ปิดการใช้งานเมนูนี้""}"
MENU_SETTINGS ,"{""message"": ""การตั้งค่า bbCodeWebex...""}"
DELETE_CUSTOMTAG,"{""message"": ""ต้องการลบวัตถุนี้หรือไม่""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""แก้ไขป้ายชื่อทำเอง""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""เพิ่มป้ายชื่อทำเอง""}"
ALERT_REORDER_TITLE ,"{""message"": ""Reorder Custom Tags""}"
ALERT_REORDER_TEXT ,"{""message"": ""Custom tags will be arranged in alphabetical order. This action cannot be undone, unless you restore an existing backup. Do you want to continue?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Choose export file""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Choose import file""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Import Settings""}"
ALERT_IMPORT_TEXT ,"{""message"": ""This will overwrite all existing settings. Are you sure?""}"
ALERT_IMPORT_COMPLETED ,"{""message"": ""Operation completed.""}"
description,"{""message"": ""เพิ่มคำสั่ง BBCode/HTML/XHTML ไปยังเมนูบริบท""}"
name,"{""message"": ""bbCodeWebex""}"
SETTINGSMENU,"{""message"": ""ตั้งค่า bbCodeWebex...""}"
DISABLEMENU,"{""message"": ""ปิดเมนูนี้""}"
PICKCOLOR_TITLE,"{""message"": ""เลือกสี""}"
PICKCOLOR_DESCRIPTION,"{""message"": ""เลือกสีแบบอักษรจากรายชื่อ""}"
PICKCOLOR_LASTCOLOR,"{""message"": ""สีที่ใช้ล่าสุด:""}"
SETTINGS_TITLE,"{""message"": ""ตั้งค่า bbCodeWebex""}"
SETTINGS_MENU,"{""message"": ""เมนู""}"
SETTINGS_CUSTOMTAGS,"{""message"": ""ป้ายชื่อทำเอง""}"
SETTINGS_MENU_DESCRIPTION,"{""message"": ""เลือกวัตถุเพื่อแสดงผลในเมนูโดยรอบ""}"
SETTINGS_MENU_ENABLEBBCODE,"{""message"": ""เปิดใช้งานเมนู bbcode""}"
SETTINGS_MENU_ENABLEBBCODE_VBULLETIN,"{""message"": ""เปิดใช้งานเมนูย่อย VBulletin""}"
SETTINGS_MENU_ENABLEHTML,"{""message"": ""เปิดใช้งานเมนู HTML""}"
SETTINGS_MENU_ENABLEXHTML,"{""message"": ""เปิดใช้งานเมนู XHTML""}"
SETTINGS_MENU_ENABLEMARKDOWN,"{""message"": ""เปิดใช้งานเมนู Markdown""}"
SETTINGS_MENU_ENABLECUSTOM,"{""message"": ""เปิดใช้งานเมนูป้ายชื่อทำเอง""}"
SETTINGS_MANAGESETTINGS,"{""message"": ""Manage settings""}"
SETTINGS_BACKUPDESCRIPTION,"{""message"": ""WARNING: importing settings will overwrite all existing settings.""}"
SETTINGS_BTNIMPORT,"{""message"": ""Import settings…""}"
SETTINGS_BTNEXPORT,"{""message"": ""Export settings…""}"
SETTINGS_CUSTOMTAGS_TOTALTAGS,"{""message"": ""ป้ายชื่อทำเองที่มี:""}"
SETTINGS_CUSTOMTAGS_BTNADD,"{""message"": ""เพิ่ม...""}"
