bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""Нека одабрано постане URL""}"
bbcwbx.xhtml.clp.url,"{""message"": ""URL""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""URL са називом""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""Наводници""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""Кôд""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""Списак""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""Уређен списак""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""Азбучни списак""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""URL са називом""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""URL чаробњак""}"
bbcwbx.xhtml.bold,"{""message"": ""Подебљано""}"
bbcwbx.xhtml.ital,"{""message"": ""Искошено""}"
bbcwbx.xhtml.undrln,"{""message"": ""Подвучено""}"
bbcwbx.xhtml.strk,"{""message"": ""Прецртано""}"
bbcwbx.xhtml.image,"{""message"": ""Слика""}"
bbcwbx.xhtml.url,"{""message"": ""URL""}"
bbcwbx.custom,"{""message"": ""Прилагођене ознаке""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""Clipboard""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""Наводници""}"
bbcwbx.mkdn.clp.code,"{""message"": ""Кôд""}"
bbcwbx.mkdn.clp.list,"{""message"": ""Списак""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""Уређен списак""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""Нека одабрано постане URL""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Нека одабрано постане слика""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""URL са називом""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""Наводници""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""Кôд""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""Списак""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""Уређен списак""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""URL са називом""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""URL чаробњак""}"
bbcwbx.mkdn.bold,"{""message"": ""Подебљано""}"
bbcwbx.mkdn.ital,"{""message"": ""Искошено""}"
bbcwbx.mkdn.strk,"{""message"": ""Прецртано""}"
INS_AUTHOR,"{""message"": ""Унесите име аутора или оставите празно:""}"
INS_LINKNAME,"{""message"": ""Унесите назив везе:""}"
INS_FONTSIZE,"{""message"": ""Унесите величину текста:""}"
INS_FONTCOLOR,"{""message"": ""Унесите боју текста:""}"
URLCOMPOSTO_STEP1,"{""message"": ""Назив везе?""}"
URLCOMPOSTO_STEP2,"{""message"": ""Веза?""}"
INS_THREADNUM,"{""message"": ""Унесите број теме:""}"
INS_POSTNUM,"{""message"": ""Унесите број одговора:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""Нису одређене прилагођене ознаке""}"
MENU_DISABLE ,"{""message"": ""Искључи овај мени""}"
MENU_SETTINGS ,"{""message"": ""bbCodeWebex подешавања…""}"
DELETE_CUSTOMTAG,"{""message"": ""Да ли желите да уклоните ову ставку?""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""Уреди прилагођену ознаку""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""Додај нову прилагођену ознаку""}"
ALERT_REORDER_TITLE ,"{""message"": ""Распоређивање прилагођених ознака""}"
ALERT_REORDER_TEXT ,"{""message"": ""Прилагођене ознаке ће бити распоређене по абецедном редоследу. Ова акција се не може поништити, осим ако не повратите постојећу резервну копију. Да ли желите наставити?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Изаберите датотеку за извоз""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Изаберите датотеку за увоз""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Подешавања за увоз""}"
ALERT_IMPORT_TEXT ,"{""message"": ""Ово ће заменити постојећа подешавања. Да ли сте сигурни?""}"
ALERT_IMPORT_COMPLETED ,"{""message"": ""Операција је завршена.""}"
description,"{""message"": ""Додаје BBCode/HTML/XHTML наредбе у садржајни мени""}"
name,"{""message"": ""bbCodeWebex""}"
SETTINGSMENU,"{""message"": ""bbCodeWebex подешавања…""}"
DISABLEMENU,"{""message"": ""Искључи овај мени""}"
PICKCOLOR_TITLE,"{""message"": ""Изабери боју""}"
PICKCOLOR_DESCRIPTION,"{""message"": ""Изаберите боју фонта са списка""}"
PICKCOLOR_LASTCOLOR,"{""message"": ""Последња коришћена боја:""}"
SETTINGS_TITLE,"{""message"": ""bbCodeWebex подешавања""}"
SETTINGS_MENU,"{""message"": ""Менији""}"
SETTINGS_CUSTOMTAGS,"{""message"": ""Прилагођене ознаке""}"
SETTINGS_MENU_DESCRIPTION,"{""message"": ""Изаберите ставке које желите да видите у садржајном менију""}"
SETTINGS_MENU_ENABLEBBCODE,"{""message"": ""Омогући bbcode мени""}"
SETTINGS_MENU_ENABLEBBCODE_VBULLETIN,"{""message"": ""Омогући VBulletin подмени""}"
SETTINGS_MENU_ENABLEHTML,"{""message"": ""Омогући HTML мени""}"
SETTINGS_MENU_ENABLEXHTML,"{""message"": ""Омогући XHTML мени""}"
SETTINGS_MENU_ENABLEMARKDOWN,"{""message"": ""Омогући Markdown мени""}"
SETTINGS_MENU_ENABLECUSTOM,"{""message"": ""Омогући мени прилагођених ознака""}"
SETTINGS_MANAGESETTINGS,"{""message"": ""Управљање подешавањима""}"
SETTINGS_BACKUPDESCRIPTION,"{""message"": ""УПОЗОРЕЊЕ: Увожење подешавања ће заменити постојећа подешавања.""}"
SETTINGS_BTNIMPORT,"{""message"": ""Подешавања за увоз…""}"
SETTINGS_BTNEXPORT,"{""message"": ""Подешавања за извоз…""}"
SETTINGS_CUSTOMTAGS_TOTALTAGS,"{""message"": ""Доступне прилагођене ознаке:""}"
SETTINGS_CUSTOMTAGS_BTNADD,"{""message"": ""Додај…""}"
SETTINGS_CUSTOMTAGS_BTNEDIT,"{""message"": ""Уреди…""}"
SETTINGS_CUSTOMTAGS_BTNDELETE,"{""message"": ""Избриши…""}"
SETTINGS_CUSTOMTAGS_MOVEUP,"{""message"": ""Помери нагоре""}"
SETTINGS_CUSTOMTAGS_MOVEDOWN,"{""message"": ""Помери надоле""}"
SETTINGS_CUSTOMTAGS_SORTALPHA,"{""message"": ""Сортирај по абецеди""}"
SETTINGS_CUSTOMTAGS_MOREINFO,"{""message"": ""Више информација и примера""}"
SETTINGS_CUSTOMTAGS_VARIABLES,"{""message"": ""Доступне варијабле""}"
SETTINGS_CUSTOMTAGS_VARCLIPBOARD,"{""message"": ""Clipboard садржај""}"
SETTINGS_CUSTOMTAGS_VARSELECTION,"{""message"": ""одабрани текст""}"
SETTINGS_CUSTOMTAGS_LABEL,"{""message"": ""Назив ставке:""}"
SETTINGS_CUSTOMTAGS_ACTION,"{""message"": ""Кôд:""}"
SAVE_TAG_ORDER,"{""message"": ""Save Tag Order""}"
ENTER_COLOR_HEX,"{""message"": ""ENTER FONT COLOR IN HEX""}"
