bbcwbx.xhtml.clp.mkurlsel,"{""message"": ""Fazer URL da selecção""}"
bbcwbx.xhtml.clp.url,"{""message"": ""URL""}"
bbcwbx.xhtml.clp.urlname,"{""message"": ""URL com nome""}"
bbcwbx.xhtml.wbx,"{""message"": ""WebEx""}"
bbcwbx.xhtml.wbx.quote,"{""message"": ""Citação""}"
bbcwbx.xhtml.wbx.code,"{""message"": ""Código""}"
bbcwbx.xhtml.wbx.list,"{""message"": ""Lista""}"
bbcwbx.xhtml.wbx.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.xhtml.wbx.alphalist,"{""message"": ""Lista alfabética""}"
bbcwbx.xhtml.wbx.urlname,"{""message"": ""URL com nome""}"
bbcwbx.xhtml.wbx.urlwiz,"{""message"": ""Assistente URL""}"
bbcwbx.xhtml.bold,"{""message"": ""Negrito""}"
bbcwbx.xhtml.ital,"{""message"": ""Itálico""}"
bbcwbx.xhtml.undrln,"{""message"": ""Sublinhado""}"
bbcwbx.xhtml.strk,"{""message"": ""Riscado""}"
bbcwbx.xhtml.image,"{""message"": ""Imagem""}"
bbcwbx.xhtml.url,"{""message"": ""URL""}"
bbcwbx.custom,"{""message"": ""Etiquetas personalizadas""}"
bbcwbx.mkdn,"{""message"": ""Markdown""}"
bbcwbx.mkdn.clp,"{""message"": ""Área de Transferência""}"
bbcwbx.mkdn.clp.quote,"{""message"": ""Citação""}"
bbcwbx.mkdn.clp.code,"{""message"": ""Código""}"
bbcwbx.mkdn.clp.list,"{""message"": ""Lista""}"
bbcwbx.mkdn.clp.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.mkdn.clp.mkurlsel,"{""message"": ""Fazer URL da selecção""}"
bbcwbx.mkdn.clp.mkimgsel,"{""message"": ""Make image from selection""}"
bbcwbx.mkdn.clp.urlname,"{""message"": ""URL com nome""}"
bbcwbx.mkdn.wbx,"{""message"": ""WebEx""}"
bbcwbx.mkdn.wbx.quote,"{""message"": ""Citação""}"
bbcwbx.mkdn.wbx.code,"{""message"": ""Código""}"
bbcwbx.mkdn.wbx.list,"{""message"": ""Lista""}"
bbcwbx.mkdn.wbx.ordlist,"{""message"": ""Lista ordenada""}"
bbcwbx.mkdn.wbx.urlname,"{""message"": ""URL com nome""}"
bbcwbx.mkdn.wbx.urlwiz,"{""message"": ""Assistente URL""}"
bbcwbx.mkdn.bold,"{""message"": ""Negrito""}"
bbcwbx.mkdn.ital,"{""message"": ""Itálico""}"
bbcwbx.mkdn.strk,"{""message"": ""Riscado""}"
INS_AUTHOR,"{""message"": ""Por favor insira o nome do autor ou deixe em branco:""}"
INS_LINKNAME,"{""message"": ""Por favor insira o nome do link:""}"
INS_FONTSIZE,"{""message"": ""Por favor insira o tamanho do texto:""}"
INS_FONTCOLOR,"{""message"": ""Por favor insira a cor do texto:""}"
URLCOMPOSTO_STEP1,"{""message"": ""Nome do link?""}"
URLCOMPOSTO_STEP2,"{""message"": ""Link?""}"
INS_THREADNUM,"{""message"": ""Por favor insira o número do tópico:""}"
INS_POSTNUM,"{""message"": ""Por favor insira o número da mensagem:""}"
MENU_NO_CUSTOM_TAGS ,"{""message"": ""Sem etiquetas personalizadas definidas""}"
MENU_DISABLE ,"{""message"": ""Desactivar este menu""}"
MENU_SETTINGS ,"{""message"": ""Preferências bbCodeWebex...""}"
DELETE_CUSTOMTAG,"{""message"": ""Deseja remover este item?""}"
WINDOWTITLE_EDITCUSTOMTAG ,"{""message"": ""Editar Etiqueta personalizada""}"
WINDOWTITLE_NEWCUSTOMTAG ,"{""message"": ""Adicionar nova Etiqueta personalizada""}"
ALERT_REORDER_TITLE ,"{""message"": ""Reorder Custom Tags""}"
ALERT_REORDER_TEXT ,"{""message"": ""Custom tags will be arranged in alphabetical order. This action cannot be undone, unless you restore an existing backup. Do you want to continue?""}"
WINDOWTITLE_EXPORT ,"{""message"": ""Choose export file""}"
WINDOWTITLE_IMPORT ,"{""message"": ""Choose import file""}"
ALERT_IMPORT_TITLE ,"{""message"": ""Import Settings""}"
ALERT_IMPORT_TEXT ,"{""message"": ""This will overwrite all existing settings. Are you sure?""}"
ALERT_IMPORT_COMPLETED ,"{""message"": ""Operation completed.""}"
description,"{""message"": ""Adiciona comandos BBCode/ HTML/ XHTML e etiquetas personalizadas ao menu de contexto""}"
name,"{""message"": ""bbCodeWebex""}"
SETTINGSMENU,"{""message"": ""Opções bbCodeWebex...""}"
DISABLEMENU,"{""message"": ""Desactivar este menu""}"
PICKCOLOR_TITLE,"{""message"": ""Escolha uma cor""}"
PICKCOLOR_DESCRIPTION,"{""message"": ""Seleccione a cor da lista""}"
PICKCOLOR_LASTCOLOR,"{""message"": ""Última cor utilizada:""}"
SETTINGS_TITLE,"{""message"": ""Opções bbCodeWebex""}"
SETTINGS_MENU,"{""message"": ""Menus""}"
SETTINGS_CUSTOMTAGS,"{""message"": ""Etiquetas personalizadas""}"
SETTINGS_MENU_DESCRIPTION,"{""message"": ""Seleccione items a mostrar no menu de contexto""}"
SETTINGS_MENU_ENABLEBBCODE,"{""message"": ""Activar menu bbcode""}"
SETTINGS_MENU_ENABLEBBCODE_VBULLETIN,"{""message"": ""Activas submenu VBulletin""}"
SETTINGS_MENU_ENABLEHTML,"{""message"": ""Activar menu HTML""}"
SETTINGS_MENU_ENABLEXHTML,"{""message"": ""Activar menu XHTML""}"
SETTINGS_MENU_ENABLEMARKDOWN,"{""message"": ""Activar menu Markdown""}"
SETTINGS_MENU_ENABLECUSTOM,"{""message"": ""Activar menu Etiquetas personalizadas""}"
SETTINGS_MANAGESETTINGS,"{""message"": ""Manage settings""}"
SETTINGS_BACKUPDESCRIPTION,"{""message"": ""WARNING: importing settings will overwrite all existing settings.""}"
SETTINGS_BTNIMPORT,"{""message"": ""Import settings…""}"
SETTINGS_BTNEXPORT,"{""message"": ""Export settings…""}"
SETTINGS_CUSTOMTAGS_TOTALTAGS,"{""message"": ""Etiquetas personalizadas disponíveis:""}"
SETTINGS_CUSTOMTAGS_BTNADD,"{""message"": ""Adicionar...""}"
SETTINGS_CUSTOMTAGS_BTNEDIT,"{""message"": ""Editar…""}"
SETTINGS_CUSTOMTAGS_BTNDELETE,"{""message"": ""Apagar…""}"
SETTINGS_CUSTOMTAGS_MOVEUP,"{""message"": ""Mover para cima""}"
SETTINGS_CUSTOMTAGS_MOVEDOWN,"{""message"": ""Mover para baixo""}"
SETTINGS_CUSTOMTAGS_SORTALPHA,"{""message"": ""Sort alphabetically""}"
SETTINGS_CUSTOMTAGS_MOREINFO,"{""message"": ""Mais informação e exemplos""}"
SETTINGS_CUSTOMTAGS_VARIABLES,"{""message"": ""Variáveis disponíveis""}"
SETTINGS_CUSTOMTAGS_VARCLIPBOARD,"{""message"": ""conteúdo da área de transferência""}"
SETTINGS_CUSTOMTAGS_VARSELECTION,"{""message"": ""texto seleccionado""}"
SETTINGS_CUSTOMTAGS_LABEL,"{""message"": ""Nome do item:""}"
SETTINGS_CUSTOMTAGS_ACTION,"{""message"": ""Código:""}"
SAVE_TAG_ORDER,"{""message"": ""Save Tag Order""}"
ENTER_COLOR_HEX,"{""message"": ""ENTER FONT COLOR IN HEX""}"
